Key,Action,Rank
action.EditorSetContentBasedBidiTextDirection,Content-based,
action.EditorSetLtrBidiTextDirection,Left-to-Right,
action.EditorSetRtlBidiTextDirection,Right-to-Left,
action.EditorSplitLine,Split Line,
action.EditorStartNewLine,Start New Line,
action.EditorStartNewLineBefore,Start New Line Before Current,
action.EditorSwapSelectionBoundaries,Swap selection boundaries,
action.EditorTab,Tab,
action.EditorTextEndWithSelection,Move Caret to Text End with Selection,
action.EditorTextStartWithSelection,Move Caret to Text Start with Selection,
action.EditorToggleCase,Toggle Case,
action.EditorToggleInsertState,Toggle Insert/Overwrite,
action.EditorToggleShowBreadcrumbs,Show Breadcrumbs,
action.EditorToggleShowGutterIcons,Show Gutter Icons,
action.EditorToggleShowIndentLines,Show Indent Guides,
action.EditorToggleShowLineNumbers,Show Line Numbers,
action.EditorToggleShowWhitespaces,Show Whitespaces,
action.EditorToggleUseSoftWraps,Use Soft Wraps,
action.EditorToggleUseSoftWrapsInPreview,Use Soft Wraps in Preview Editor,
action.EditorUnindentSelection,Unindent Line or Selection,
action.editRunConfigurations,Edit Configurations...,
action.EditSource,Jump to Source,
action.EditSourceInNewWindow,Open source in new window,
action.EmacsStyleIndent,Emacs Tab,
action.EncapsulateFields,Encapsulate Fields...,
action.EvaluateExpression,Evaluate Expression...,
action.ExcludeFromProject,Exclude From Project...,
action.Exit,Exit,
action.ExpandAllRegions,Expand All,
action.ExpandAllToLevel1,1,
action.ExpandAllToLevel2,2,
action.ExpandAllToLevel3,3,
action.ExpandAllToLevel4,4,
action.ExpandAllToLevel5,5,
action.ExpandDocComments,Expand doc comments,
action.ExpandLiveTemplateByTab,Expand Live Template by Tab,
action.ExpandLiveTemplateCustom,Expand Live Template / Emmet Abbreviation,
action.ExpandRegion,Expand,
action.ExpandRegionRecursively,Expand Recursively,
action.ExpandToLevel1,1,
action.ExpandToLevel2,2,
action.ExpandToLevel3,3,
action.ExpandToLevel4,4,
action.ExpandToLevel5,5,
action.ExpandTreeNode,Expand Tree Node,
action.ExportSettings,Export Settings...,
action.ExportTestResults,Export Test Results...,
action.ExportThreads,Export Threads...,
action.ExportToEclipse,Export To Eclipse...,
action.ExportToHTML,Export to HTML...,
action.ExportToTextFile,Export to Text File,
action.ExpressionTypeInfo,Expression Type,
action.ExternalJavaDoc,External Documentation,
action.ExtractClass,Delegate...,
action.ExtractInclude,Include File...,
action.ExtractInterface,Interface...,
action.ExtractMethod,Method...,
action.ExtractModule,Module...,
action.ExtractSuperclass,Superclass...,
action.FileChooser.Delete,Delete...,
action.FileChooser.GotoDesktop,Desktop Directory,
action.FileChooser.GotoHome,Home Directory,
action.FileChooser.GotoModule,Module Directory,
action.FileChooser.GotoProject,Project Directory,
action.FileChooser.NewFile,New File...,
action.FileChooser.NewFolder,New Folder...,
action.FileChooser.Refresh,Refresh,
